model_name,agent_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,max_steps_hit,cached_tokens,input_tokens,reasoning_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
gpt-5.2,baseline-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,24448,20572,0,79,45099,0.0402794,0.001106,0.0413854,25.623624086380005,1.0,0.0833333333333333,2.2173440652786093e-05
gpt-5.2,baseline-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,26880,16996,0,79,43955,0.034447,0.001106,0.035553,19.03513240814209,1.0,0.0833333333333333,2.2750540325332725e-05
gpt-5.2,baseline-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,30080,14938,0,77,45095,0.0314054999999999,0.001078,0.0324835,15.11788249015808,1.0,0.0833333333333333,2.217540747311232e-05
gpt-5.2,plus-memorizer-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,71680,54398,0,658,126736,0.1077405,0.009212,0.1169525,38.75478792190552,1.0,0.0833333333333333,7.89041787653074e-06
gpt-5.2,plus-memorizer-v3.1,tw-cooking-3,1,1,0,0,1.0,1.0,64,0,410112,217352,0,2278,629742,0.4521355999999999,0.031892,0.4840276,129.8797218799591,1.0,0.015625,1.5879518914094978e-06
gpt-5.2,plus-memorizer-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,12,0,71296,42788,0,540,114624,0.0873558,0.00756,0.0949158,31.83669853210449,1.0,0.0833333333333333,8.724176437744277e-06
gpt-5.2,plus-memorizer-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,12,0,96512,17971,0,590,115073,0.0483388499999999,0.00826,0.0565988499999999,25.363765478134155,1.0,0.0833333333333333,8.690135826822974e-06
gpt-5.2,plus-planner-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,69504,48071,0,325,117900,0.09628745,0.00455,0.10083745,45.64658975601196,1.0,0.0833333333333333,8.481764206955047e-06
gpt-5.2,plus-planner-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,53888,63464,0,318,117670,0.1204924,0.0044519999999999,0.1249444,41.294538497924805,1.0,0.0833333333333333,8.498342823149486e-06
gpt-5.2,plus-planner-v3.1,tw-coin-3,1,1,0,0,1.0,1.0,1,0,5376,8945,0,36,14357,0.01659455,0.000504,0.01709855,6.021291255950928,1.0,1.0,6.965243435258063e-05
