step_id,task,feedback,location,description,inventory,score,reward,is_done,summary,thought,action,error,final_reward
1,,,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a raw yellow potato, a red apple, a raw purple potato and a knife. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?","You are carrying: a banana, a red onion, an orange bell pepper and a red hot pepper.",0,0.0,False,I started in the kitchen.,,examine cookbook,,0.0
2,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading: Recipe #1 --------- Gather all following ingredients and follow the directions to prepare this tasty meal. Ingredients: banana orange bell pepper yellow potato red onion red potato Directions: slice the banana fry the banana slice the orange bell pepper roast the orange bell pepper slice the yellow potato fry the yellow potato dice the red onion fry the red onion dice the red potato roast the red potato prepare meal",Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a raw yellow potato, a red apple, a raw purple potato and a knife. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?","You are carrying: a banana, a red onion, an orange bell pepper and a red hot pepper.",0,0.0,False,"I started in the kitchen.  
I examined the cookbook → I learned the recipe: slice+fry banana; slice+roast orange bell pepper; slice+fry yellow potato; dice+fry red onion; dice+roast red potato; then prepare meal.",,take knife from counter,,0.0
3,,You take the knife from the counter.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a raw yellow potato, a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?","You are carrying: a knife, a banana, a red onion, an orange bell pepper and a red hot pepper.",0,0.0,False,"I took knife from counter → the knife was added to my inventory, filling my inventory to capacity (5/5).",,drop red hot pepper,,0.0
4,,You drop the red hot pepper on the ground.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a raw yellow potato, a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is a red hot pepper on the floor.","You are carrying: a knife, a banana, a red onion and an orange bell pepper.",0,0.0,False,"I dropped the red hot pepper → the pepper was left on the kitchen floor, freeing 1 inventory slot.",,take raw yellow potato from counter,,0.0
5,,You take the yellow potato from the counter. Your score has just gone up by one point.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is a red hot pepper on the floor.","You are carrying: a raw yellow potato, a knife, a banana, a red onion and an orange bell pepper.",1,0.0,False,"I took raw yellow potato from counter → the raw yellow potato was added to my inventory, filling it to capacity (5/5)",,drop red hot pepper,,0.07142857142857142
6,,The red hot pepper is already here.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is a red hot pepper on the floor.","You are carrying: a raw yellow potato, a knife, a banana, a red onion and an orange bell pepper.",1,0.0,False,"I dropped the red hot pepper → I failed because the red hot pepper was already on the floor, so nothing changed",,drop banana,,0.07142857142857142
7,,You drop the banana on the ground.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a raw red potato, a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is a banana and a red hot pepper on the floor.","You are carrying: a raw yellow potato, a knife, a red onion and an orange bell pepper.",1,0.0,False,"I dropped banana → the banana was left on the kitchen floor, freeing 1 inventory slot",,take raw red potato from counter,,0.07142857142857142
8,,You take the red potato from the counter. Your score has just gone up by one point.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is a banana and a red hot pepper on the floor.","You are carrying: a raw red potato, a raw yellow potato, a knife, a red onion and an orange bell pepper.",2,0.0,False,"I took the raw red potato from the counter → the raw red potato was added to my inventory, filling it to capacity (5/5).",,take banana from floor,,0.14285714285714285
9,,You're carrying too many things already.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is a banana and a red hot pepper on the floor.","You are carrying: a raw red potato, a raw yellow potato, a knife, a red onion and an orange bell pepper.",2,0.0,False,"I took the banana from the floor → I failed because my inventory was full (5/5), so I couldn’t pick it up.",,drop orange bell pepper,,0.14285714285714285
10,,You drop the orange bell pepper on the ground.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper, a banana and a red hot pepper on the floor.","You are carrying: a raw red potato, a raw yellow potato, a knife and a red onion.",2,0.0,False,"I dropped the orange bell pepper → the orange bell pepper was left on the kitchen floor, freeing 1 inventory slot",,take banana,,0.14285714285714285
11,,You pick up the banana from the ground.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper and a red hot pepper on the floor.","You are carrying: a banana, a raw red potato, a raw yellow potato, a knife and a red onion.",2,0.0,False,"I took the banana → the banana was added to my inventory, filling it to capacity (5/5).",,slice banana with knife,,0.14285714285714285
12,,You slice the banana. Your score has just gone up by one point.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper and a red hot pepper on the floor.","You are carrying: a sliced banana, a raw red potato, a raw yellow potato, a knife and a red onion.",3,0.0,False,I sliced banana with knife → the banana became sliced and my score increased by 1 (to 3/14).,,fry sliced banana with stove,,0.21428571428571427
13,,That's not a verb I recognise.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper and a red hot pepper on the floor.","You are carrying: a sliced banana, a raw red potato, a raw yellow potato, a knife and a red onion.",3,0.0,False,"I fried sliced banana with stove → I failed because “fry” isn’t a recognized verb, so nothing changed.",,cook sliced banana with stove,,0.21428571428571427
14,,You fried the banana. Your score has just gone up by one point.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper and a red hot pepper on the floor.","You are carrying: a sliced fried banana, a raw red potato, a raw yellow potato, a knife and a red onion.",4,0.0,False,I cooked the sliced banana with the stove → the banana was fried (now a sliced fried banana) and my score increased by 1.,,dice red onion with knife,,0.2857142857142857
15,,You dice the red onion. Your score has just gone up by one point.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper and a red hot pepper on the floor.","You are carrying: a sliced fried banana, a raw red potato, a raw yellow potato, a knife and a diced red onion.",5,0.0,False,dice red onion with knife → the red onion became diced and my score increased by 1 (to 5/14),,cook diced red onion with stove,,0.35714285714285715
16,,You fried the red onion. Your score has just gone up by one point.,Kitchen,"You're now in the kitchen. Okay, just remember what you're here to do, and everything will go great. You can see a closed fridge. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. On the table you make out a cookbook. You hear a noise behind you and spin around, but you can't see anything other than a counter. I guess it's true what they say, if you're looking for a counter, go to TextWorld. The counter is vast. On the counter you see a red apple and a raw purple potato. Oh, great. Here's a stove. What a coincidence, weren't you just thinking about a stove? But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? There is an orange bell pepper and a red hot pepper on the floor.","You are carrying: a sliced fried banana, a raw red potato, a raw yellow potato, a knife and a diced fried red onion.",6,0.0,False,I cooked the diced red onion with the stove → the red onion was fried (now a diced fried red onion) and my score increased by 1.,,slice raw yellow potato with knife,,0.42857142857142855
