agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
plus-tasker,gpt-5.2,tw-treasure-1,10,10,You are now playing a life changing round of TextWorld! Recover the loaf of bread from the floor of the shower.,Go to the shower (exploring as needed) and take the loaf of bread from the floor.,True,1.0,3,20,1,5901,37,5938,0.010326749999999999,0.000518,0.010844749999999998,1769855539.8142903,,3.4801106452941895,0.3333333333333333,0.0001684068710003368,,1769855546.294401
plus-tasker,gpt-5.2,tw-treasure-1,10,20,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Your task for today is to retrieve the keycard from the floor of the parlor.",Go to the parlor and take the keycard from the floor.,True,1.0,3,20,1,5909,30,5939,0.010340750000000001,0.00042,0.010760750000000001,1769855547.8852694,,21.370526790618896,0.3333333333333333,0.00016837851490149856,,1769855572.2557962
plus-tasker,gpt-5.2,tw-treasure-1,10,30,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First of all, you could, like, make an attempt to travel west. Then, recover the cookie from the floor of the cellar. And if you do that, you're the winner!",Go west to the cellar and take the cookie from the floor.,True,1.0,4,20,2,7789,34,7823,0.01363075,0.00047599999999999997,0.014106750000000001,1769855573.914837,,7.684862852096558,0.25,0.0001278281989006775,,1769855585.5996997
plus-tasker,gpt-5.2,tw-treasure-1,10,40,"It's time to explore the amazing world of TextWorld! First of all, you could, like, travel east. That done, lift the passkey from the floor of the office. And if you do that, you're the winner!","Go east to the office, then take the passkey from the floor.",True,1.0,4,20,2,7860,37,7897,0.013755000000000002,0.000518,0.014273000000000001,1769855587.018185,,4.3481974601745605,0.25,0.00012663036596175764,,1769855595.3663824
plus-tasker,gpt-5.2,tw-treasure-1,10,50,"You are now playing a life changing round of TextWorld! First off, if it's not too much trouble, I need you to attempt to go north. Okay, and then, travel east. If you can succeed at that, pick-up the paper towel from the floor of the bathroom. That's it!","Go north, then go east to the bathroom, and take the paper towel from the floor.",True,1.0,6,20,3,11541,52,11593,0.02019675,0.0007279999999999999,0.02092475,1769855596.973419,,7.814282178878784,0.16666666666666666,8.625894936599672e-05,,1769855610.7877011
plus-tasker,gpt-5.2,tw-treasure-1,10,60,"Welcome to TextWorld! First thing I need you to do is to attempt to move north. Following that, take a trip east. Okay, and then, recover the loaf of bread from the floor of the cookery. That's it!","Go north, then go east to the cookery, and take the loaf of bread from the floor.",True,1.0,5,20,3,9577,50,9627,0.01675975,0.0007,0.01745975,1769855612.2268476,,19.32492733001709,0.2,0.00010387451958034694,,1769855636.551775
plus-tasker,gpt-5.2,tw-treasure-1,10,70,"Welcome to TextWorld! First of all, make an attempt to venture south. And then, try to travel west. And then, head west. With that over with, pick-up the latchkey from the floor of the vault. That's it!","Go south, then go west, then go west again to reach the vault, and take the latchkey from the floor.",True,1.0,6,20,4,11320,59,11379,0.01981,0.0008259999999999999,0.020636,1769855638.0058858,,7.889727354049683,0.16666666666666666,8.788118463836892e-05,,1769855651.8956132
plus-tasker,gpt-5.2,tw-treasure-1,10,80,"Welcome to TextWorld! Here is your task for today. First of all, take a trip north. Then, travel east. After that, move south. After that, retrieve the top hat from the floor of the garage. That's it!","Go north, then east, then south to the garage, and take the top hat from the floor.",True,1.0,6,20,4,11358,55,11413,0.0198765,0.0007700000000000001,0.020646499999999998,1769855653.307693,,7.02393364906311,0.16666666666666666,8.761938140716727e-05,,1769855666.3316267
plus-tasker,gpt-5.2,tw-treasure-1,10,90,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First step, travel south. If you can finish that, make an attempt to head south. With that over with, attempt to go to the west. And then, try to take a trip north. After that, pick up the key from the floor of the basement. Got that? Good!","Go south, south, west, then north to reach the basement and take the key from the floor.",True,1.0,7,20,5,13401,60,13461,0.02345175,0.00084,0.02429175,1769855667.8829114,,22.406344652175903,0.14285714285714285,7.428868583314762e-05,,1769855697.289256
plus-tasker,gpt-5.2,tw-treasure-1,10,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to move south. Next, go to the east. Then, make an effort to go north. After that, make an effort to venture east. After that, recover the latchkey from the floor of the studio. And once you've done that, you win!","Go south, then east, then north, then east to reach the studio, and pick up the latchkey from the floor.",True,1.0,7,20,5,13480,66,13546,0.02359,0.0009240000000000001,0.024514,1769855698.817815,,7.980574369430542,0.14285714285714285,7.382253063635022e-05,,1769855713.7983894
