agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
minus-summarizer,gpt-5.2,tw-treasure-1,10,10,You are now playing a life changing round of TextWorld! Recover the loaf of bread from the floor of the shower.,Find the shower room and take the loaf of bread from the floor.,True,1.0,3,20,1,10485,99,10584,0.01834875,0.0013859999999999999,0.01973475,1770004158.7244754,,4.854166269302368,0.3333333333333333,9.44822373393802e-05,,1770004166.5786417
minus-summarizer,gpt-5.2,tw-treasure-1,10,20,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Your task for today is to retrieve the keycard from the floor of the parlor.",Go to the parlor and take the keycard from the floor.,True,1.0,3,20,1,10497,93,10590,0.018369749999999997,0.001302,0.019671749999999998,1770004168.135083,,3.065692186355591,0.3333333333333333,9.442870632672332e-05,,1770004174.2007751
minus-summarizer,gpt-5.2,tw-treasure-1,10,30,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First of all, you could, like, make an attempt to travel west. Then, recover the cookie from the floor of the cellar. And if you do that, you're the winner!",Go west to the cellar and take the cookie from the floor.,True,1.0,4,20,2,14769,143,14912,0.025845749999999997,0.0020020000000000003,0.027847749999999998,1770004175.7399156,,36.85135793685913,0.25,6.706008583690987e-05,,1770004216.5912735
minus-summarizer,gpt-5.2,tw-treasure-1,10,40,"It's time to explore the amazing world of TextWorld! First of all, you could, like, travel east. That done, lift the passkey from the floor of the office. And if you do that, you're the winner!",Go east to the office and take the passkey from the floor.,True,1.0,4,20,2,14891,127,15018,0.02605925,0.001778,0.02783725,1770004218.123342,,7.802849292755127,0.25,6.658676255160474e-05,,1770004229.9261913
minus-summarizer,gpt-5.2,tw-treasure-1,10,50,"You are now playing a life changing round of TextWorld! First off, if it's not too much trouble, I need you to attempt to go north. Okay, and then, travel east. If you can succeed at that, pick-up the paper towel from the floor of the bathroom. That's it!","Go north, then go east to the bathroom, and take the paper towel from the floor.",True,1.0,5,20,3,18934,157,19091,0.0331345,0.002198,0.035332499999999996,1770004231.3667839,,30.821600914001465,0.2,5.238070294903357e-05,,1770004267.1883848
minus-summarizer,gpt-5.2,tw-treasure-1,10,60,"Welcome to TextWorld! First thing I need you to do is to attempt to move north. Following that, take a trip east. Okay, and then, recover the loaf of bread from the floor of the cookery. That's it!","Go north, then go east, then in the cookery take the loaf of bread from the floor.",True,1.0,5,20,3,18822,160,18982,0.032938499999999996,0.0022400000000000002,0.035178499999999994,1770004268.8394537,,15.0582594871521,0.2,5.268148772521336e-05,,1770004288.8977132
minus-summarizer,gpt-5.2,tw-treasure-1,10,70,"Welcome to TextWorld! First of all, make an attempt to venture south. And then, try to travel west. And then, head west. With that over with, pick-up the latchkey from the floor of the vault. That's it!","Go south, then west, then west again to reach the vault, and pick up the latchkey from the floor.",True,1.0,6,20,4,22939,242,23181,0.040143250000000005,0.003388,0.04353125000000001,1770004290.4551957,,28.746800422668457,0.16666666666666666,4.313877744704715e-05,,1770004325.201996
minus-summarizer,gpt-5.2,tw-treasure-1,10,80,"Welcome to TextWorld! Here is your task for today. First of all, take a trip north. Then, travel east. After that, move south. After that, retrieve the top hat from the floor of the garage. That's it!","Go north, then east, then south to the garage, and take the top hat from the floor.",True,1.0,6,20,4,22963,214,23177,0.04018525,0.002996,0.04318125,1770004326.622452,,21.15469527244568,0.16666666666666666,4.31462225482159e-05,,1770004353.7771473
minus-summarizer,gpt-5.2,tw-treasure-1,10,90,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First step, travel south. If you can finish that, make an attempt to head south. With that over with, attempt to go to the west. And then, try to take a trip north. After that, pick up the key from the floor of the basement. Got that? Good!","Go south, south, west, then north to reach the basement, and pick up the key from the floor there.",True,1.0,7,20,5,27708,312,28020,0.048489,0.004368,0.052857,1770004355.3134217,,38.892672061920166,0.14285714285714285,3.568879371877231e-05,,1770004401.2060938
minus-summarizer,gpt-5.2,tw-treasure-1,10,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to move south. Next, go to the east. Then, make an effort to go north. After that, make an effort to venture east. After that, recover the latchkey from the floor of the studio. And once you've done that, you win!","Go south, then east, then north, then east to reach the studio, and take the latchkey from the floor.",True,1.0,7,20,5,27687,262,27949,0.04845225,0.0036680000000000003,0.05212025,1770004402.557404,,17.773661613464355,0.14285714285714285,3.577945543668825e-05,,1770004427.3310657
