agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
minus-reasoner,gpt-5.2,tw-treasure-1,10,10,You are now playing a life changing round of TextWorld! Recover the loaf of bread from the floor of the shower.,Go to the shower and take the loaf of bread from the floor.,True,1.0,3,20,1,10699,72,10771,0.01872325,0.001008,0.01973125,1769974713.7275212,,6.912484645843506,0.3333333333333333,9.284189026088571e-05,,1769974723.6400058
minus-reasoner,gpt-5.2,tw-treasure-1,10,20,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Your task for today is to retrieve the keycard from the floor of the parlor.",Go to the parlor and take the keycard from the floor.,True,1.0,3,20,1,10726,71,10797,0.0187705,0.000994,0.019764499999999997,1769974725.052007,,6.32053542137146,0.3333333333333333,9.261831990367695e-05,,1769974734.3725424
minus-reasoner,gpt-5.2,tw-treasure-1,10,30,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First of all, you could, like, make an attempt to travel west. Then, recover the cookie from the floor of the cellar. And if you do that, you're the winner!",Go west to the cellar and take the cookie from the floor.,True,1.0,4,20,2,15110,109,15219,0.0264425,0.001526,0.0279685,1769974735.8841486,,32.92017984390259,0.25,6.570733950982325e-05,,1769974772.8043284
minus-reasoner,gpt-5.2,tw-treasure-1,10,40,"It's time to explore the amazing world of TextWorld! First of all, you could, like, travel east. That done, lift the passkey from the floor of the office. And if you do that, you're the winner!","Go east to the office, then take the passkey from the floor.",True,1.0,4,20,2,15266,118,15384,0.0267155,0.0016519999999999998,0.0283675,1769974773.405084,,9.037617683410645,0.25,6.500260010400417e-05,,1769974786.4427016
minus-reasoner,gpt-5.2,tw-treasure-1,10,50,"You are now playing a life changing round of TextWorld! First off, if it's not too much trouble, I need you to attempt to go north. Okay, and then, travel east. If you can succeed at that, pick-up the paper towel from the floor of the bathroom. That's it!","Go north, then go east to the bathroom, and take the paper towel from the floor.",True,1.0,6,20,3,24114,179,24293,0.0421995,0.002506,0.0447055,1769974787.8496847,,41.09456825256348,0.16666666666666666,4.116412135182974e-05,,1769974834.944253
minus-reasoner,gpt-5.2,tw-treasure-1,10,60,"Welcome to TextWorld! First thing I need you to do is to attempt to move north. Following that, take a trip east. Okay, and then, recover the loaf of bread from the floor of the cookery. That's it!","Go north, then go east, and take the loaf of bread from the floor of the cookery.",True,1.0,5,20,3,19403,147,19550,0.03395525,0.002058,0.03601325,1769974836.367805,,8.7222158908844,0.2,5.1150895140664964e-05,,1769974850.090021
minus-reasoner,gpt-5.2,tw-treasure-1,10,70,"Welcome to TextWorld! First of all, make an attempt to venture south. And then, try to travel west. And then, head west. With that over with, pick-up the latchkey from the floor of the vault. That's it!","Go south, then go west, then go west again to reach the vault, and take the latchkey from the floor there.",True,1.0,6,20,4,23679,192,23871,0.041438249999999996,0.0026880000000000003,0.04412625,1769974851.606246,,40.58443737030029,0.16666666666666666,4.1891835281303674e-05,,1769974898.1906834
minus-reasoner,gpt-5.2,tw-treasure-1,10,80,"Welcome to TextWorld! Here is your task for today. First of all, take a trip north. Then, travel east. After that, move south. After that, retrieve the top hat from the floor of the garage. That's it!","Go north, then east, then south to the garage, and take the top hat from the floor.",True,1.0,6,20,4,23700,170,23870,0.041475,0.00238,0.043855,1769974899.7303722,,11.676251411437988,0.16666666666666666,4.1893590280687055e-05,,1769974917.4066236
minus-reasoner,gpt-5.2,tw-treasure-1,10,90,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First step, travel south. If you can finish that, make an attempt to head south. With that over with, attempt to go to the west. And then, try to take a trip north. After that, pick up the key from the floor of the basement. Got that? Good!","Go south, go south again, go west, go north, then take the key from the floor of the basement.",True,1.0,8,20,5,33141,245,33386,0.05799674999999999,0.00343,0.061426749999999995,1769974918.7901888,,43.132203340530396,0.125,2.9952674773857304e-05,,1769974969.9223921
minus-reasoner,gpt-5.2,tw-treasure-1,10,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to move south. Next, go to the east. Then, make an effort to go north. After that, make an effort to venture east. After that, recover the latchkey from the floor of the studio. And once you've done that, you win!","Go south, then east, then north, then east to reach the studio, and take the latchkey from the floor.",True,1.0,7,20,5,28686,198,28884,0.0502005,0.0027719999999999997,0.0529725,1769974971.473362,,42.807538986206055,0.14285714285714285,3.462124359506994e-05,,1769975021.280901
