step_id,task,feedback,location,description,inventory,score,reward,is_done,summary,thought,action,error,final_reward
1,,,Study,"You've just shown up in a study. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked. There is an unguarded exit to the west.",You are carrying nothing.,0,0.0,False,I started in the study.,Need follow exact route from Study. First move is west (unblocked).,go west,,0.0
2,,"You arrive in a parlor. An ordinary kind of place. I guess you better just go and list everything you see here. There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unblocked. There is an unblocked exit to the west.",Parlor,"You arrive in a parlor. An ordinary kind of place. I guess you better just go and list everything you see here. There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,"I started in the study.  
I went west → I arrived in the parlor.","We must follow the exact route; we’ve done the first “west” (Study → Parlor). The next step in the route is **go west** again (from Parlor, west is available).",go west,,0.0
3,,"You've entered a shower. You need an unblocked exit? You should try going east. You need an unblocked exit? You should try going north. There is an exit to the south. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Shower,"You've entered a shower. You need an unblocked exit? You should try going east. You need an unblocked exit? You should try going north. There is an exit to the south. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the shower,"We’re following the route exactly. So far: west (Study→Parlor), west (Parlor→Shower). The next direction is **north** from the Shower (north exit is available).",go north,,0.0
4,,"You're now in the steam room. You begin to take stock of what's here. You need an unblocked exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unblocked. There is an unblocked exit to the south. You don't like doors? Why not try going west, that entranceway is unguarded.",Steam Room,"You're now in the steam room. You begin to take stock of what's here. You need an unblocked exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unblocked. There is an unblocked exit to the south. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,I went north → I arrived in the steam room.,"We must follow the exact route. We’re at **Steam Room** and have done: west, west, north. Next move in the route is **west**.",go west,,0.0
5,,"You arrive in a bathroom. A standard one. You try to gain information on your surroundings by using a technique you call ""looking."" You don't like doors? Why not try going east, that entranceway is unguarded. There is an unguarded exit to the north. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Bathroom,"You arrive in a bathroom. A standard one. You try to gain information on your surroundings by using a technique you call ""looking."" You don't like doors? Why not try going east, that entranceway is unguarded. There is an unguarded exit to the north. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the bathroom.,"We’re following the fixed route. So far we’ve done: west, west, north, west. We’re now in the **Bathroom**. The next move in the route is **south**.",go south,,0.0
6,,"You're now in a cookery. Let's see what's in here. There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unblocked.",Cookery,"You're now in a cookery. Let's see what's in here. There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the cookery,"We’re following the fixed route. Completed so far: west, west, north, west, south. We’re now in the **Cookery**. The next move in the route is **south**.",go south,,0.0
7,,You've entered a washroom. There is an unblocked exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the south. You need an unguarded exit? You should try going west.,Washroom,You've entered a washroom. There is an unblocked exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the south. You need an unguarded exit? You should try going west.,You are carrying nothing.,0,0.0,False,I went south → I arrived in the washroom,"We’re following the fixed route. Completed so far: **west, west, north, west, south, south**. We’re now in the **Washroom**. The next move in the route is **west**.",go west,,0.0
8,,"You arrive in a cubicle. A still kind of place. Okay, just remember what you're here to do, and everything will go great. There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unblocked.",Still Cubicle,"You arrive in a cubicle. A still kind of place. Okay, just remember what you're here to do, and everything will go great. There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the still cubicle,"We must keep following the fixed route. Moves completed so far: **west, west, north, west, south, south, west**.  
The next move in the route is **west** (from the Still Cubicle).",go west,,0.0
9,,"You are in a vault. A typical one. There is an exit to the east. Don't worry, it is unguarded. You need an unguarded exit? You should try going north. You need an unguarded exit? You should try going south. You need an unguarded exit? You should try going west.",Vault,"You are in a vault. A typical one. There is an exit to the east. Don't worry, it is unguarded. You need an unguarded exit? You should try going north. You need an unguarded exit? You should try going south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the vault.,"We must stick to the given route. Moves so far: west, west, north, west, south, south, west, west.  
Next required move is **north** (from the Vault) to continue the sequence.",go north,,0.0
10,,"You've just walked into a silent cubicle. There is an exit to the east. Don't worry, it is unguarded. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unblocked exit to the south. You don't like doors? Why not try going west, that entranceway is unguarded.",Silent Cubicle,"You've just walked into a silent cubicle. There is an exit to the east. Don't worry, it is unguarded. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unblocked exit to the south. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,I went north → I arrived in the silent cubicle,"We’re following the exact route. Completed so far: west, west, north, west, south, south, west, west, **north**.
Next required move is **west** (step 10 in the route) from the Silent Cubicle.",go west,,0.0
